,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
12,George Davis,1993,Male,[],1993-01-01 00:00:00
13,Lloyd Davis,1991-09,Male,[],1991-09-01 00:00:00
26,Sophie-Julia Jaubert,1993,Female,[],1955-01-01 00:00:00
54,"Sir John Parnell, 2nd Baronet",1801,None,[],1744-12-25 00:00:00
56,Sir Sunder Lal,1918-02-13,None,[],1857-05-21 00:00:00
59,Walter Roper Lawrence,1940,None,[],1857-02-09 00:00:00
64,Sir Hugh Luttrell,1428-03-24,None,[],
72,Kedarnath Das,1936-03-13,None,[],1867-02-24 00:00:00
74,James Howie,1995-03-17,None,[],1907-12-31 00:00:00
78,Sir James Creed Meredith,1912,Male,[],1842-09-17 00:00:00
80,David Adams,2006-10-08,Male,[],1923-09-05 00:00:00
118,Connie Hobbs,2009-05-05,Female,[],1907-01-01 00:00:00
154,Ralph B. White,2008-02-04,Female,[],1941-08-28 00:00:00
182,Earl Crain Jr.,1986-02-03,Male,[],1915-06-12 00:00:00
202,Irving M. Schoenberg,1963-08-16,Male,[],1912-12-24 00:00:00
335,Leonard Rubenfeld,2009-12-06,Male,[],1916-05-07 00:00:00
336,Barbara Drew,2001-09-17,Female,[],1916-02-11 00:00:00
1423,Hans Elwenspoek,1989-01-13,Male,[],1910-07-08 00:00:00
1507,Anne-Marie Schmitt,2006-04-26,Female,[],1931-09-06 00:00:00
1512,Cathrine Caroline,1910,Female,[],1831-01-01 00:00:00
1536,Henri Deyglun,1971-02,Male,[],1903-01-01 00:00:00
1549,Carla Augusta Wieda,1914,Male,[],1822-01-01 00:00:00
1553,Harold Baigent,1996-03-09,Male,[],1916-11-16 00:00:00
1566,Claus Strandberg,2004-08-13,Male,[],1948-06-05 00:00:00
1571,None,1985,Male,[],1929-01-01 00:00:00
1590,Wolfgang Längsfeld,2012-02-13,Male,[],1937-03-13 00:00:00
1622,Thomas Henry Winterfeld,2008,Male,[],1923-01-01 00:00:00
1647,Guy Jones,1959-02-08,Male,[],1874-11-05 00:00:00
1670,Peggy O'Shea,2014-05-01,Female,[],1922-10-03 00:00:00
1728,Frank Baker,1980-12-30,Male,[],1892-10-11 00:00:00
1795,Judith Crawley,1986-09-16,Female,[],1914-04-12 00:00:00
1799,F. Paul Benz,2011-09-13,Male,[],1966-08-14 00:00:00
1831,Bonnie Bogard Maier,2004-01-27,Male,[],1956-06-13 00:00:00
1836,Maurice Wright,1996-09-18,Male,[],1908-06-06 00:00:00
1875,Kun Xiang,2009-02-15,Male,[],1915-01-12 00:00:00
1891,Akiko Hyûga,2011-03-05,Female,[],1955-03-02 00:00:00
1926,Jeremy Wallington,2001-08-14,Male,[],1935-07-07 00:00:00
1967,Vera Plevnik,1982,Female,[],1955-01-01 00:00:00
2043,Jinming Zhu,1989-06,Male,[],1915-08-01 00:00:00
2078,Loleh Bellon,1999-05-22,Female,[],1925-05-14 00:00:00
2093,Ronald Edgeworth,1994-12-10,Male,[],1938-01-29 00:00:00
2144,Aleksandr Ognivtsev,1981-09-08,Male,[],1920-08-27 00:00:00
2154,Sergei Sidelyov,1962-10-04,Male,[],1906-12-21 00:00:00
2237,Jeanne de Balzac,1930-05-08,Female,[],1891-01-01 00:00:00
2238,Edmond Castel,1947-11-01,Male,[],1883-03-26 00:00:00
2248,Gene Weed,1999-08-05,Male,[],1935-04-12 00:00:00
2278,Howard Erskine,2011-01-22,Male,[],1926-06-29 00:00:00
2331,John Esmonde,2008-08-10,Male,[],1937-03-21 00:00:00
2334,"John Turner Sargent, Sr.",2012-02-05,None,[],1924-06-26 00:00:00
2336,J. Paul Rexe,2010-08-09,Male,[],1944-06-05 00:00:00
2343,Nancy Adams,2009-02-01,Female,[],1924-05-18 00:00:00
2357,Richard Mason,2002-11-22,Male,[],1926-01-01 00:00:00
2402,Jon Epstein,1990-11-24,Male,[],1928-03-07 00:00:00
2462,Ramesh Mehta,2012-05-11,Male,[],1934-06-23 00:00:00
2546,Christian Watton,2010-01-05,Male,[],1927-11-19 00:00:00
2559,Stanley Forman,2013-02-07,Male,[],1921-12-26 00:00:00
2598,Kenny Graham,1997-02-24,Male,[],1924-07-19 00:00:00
2633,Sergio Sandrelli,2013,Male,[],1939-01-01 00:00:00
2692,Bob Zamboni,2002-06-05,Male,[],1939-03-28 00:00:00
2697,Franz-Rudolf Falk,1971-03-03,Male,[],1913-01-01 00:00:00
2720,David Pressman,2011-08-29,Male,[],1913-10-10 00:00:00
2753,Sidy Lamine Diarra,2005-11-28,Male,[],1944-01-01 00:00:00
2775,John Gurney,1809-10-28,Male,[],1749-11-10 00:00:00
2778,Hannah Buxton,1872,Female,[],1783-01-01 00:00:00
2839,Robert Birnbaum,2007-05-12,Male,[],1938-01-01 00:00:00
2875,Prince Albert Screws,1997-01-21,Male,[],1907-10-16 00:00:00
2876,Martha Upshaw,1990-04-25,Female,[],1907-12-14 00:00:00
2893,Christianne Fugger von Babenhausen,2009-04-24,Female,[],1960-01-18 00:00:00
2919,Leonard Friedlander,1990-05-15,Male,[],1941-12-15 00:00:00
2920,Edward J. Heim,1991-05-13,Male,[],1934-03-28 00:00:00
2955,Grace Kelly,1940-05-03,Female,[],1865-08-10 00:00:00
2957,James Kelly,1946-10-18,Male,[],1859-07-31 00:00:00
2958,Margaret Kelly Skillion,1896-01-22,Female,[],1857-06-15 00:00:00
2959,Anne Kelly Gunn,1872-11-11,Female,[],1853-11-01 00:00:00
2961,Mary Jane Kelly,1850,Female,[],1850-01-01 00:00:00
3029,William P. D'Angelo,2002-06-08,Male,[],1932-06-14 00:00:00
3031,Wendy Acey,2004-10-20,Female,[],1950-08-06 00:00:00
3033,Yvon Marciano,2011-11-23,None,[],1953-02-13 00:00:00
3106,Mohammed Rafeh,2012-11-02,None,[],1982-03-09 00:00:00
3107,Hans Hammarskiöld,2012-11-12,None,[],1925-05-17 00:00:00
3108,Aloysius Balina,2012-11-06,None,[],1945-01-21 00:00:00
3109,Bobby Gilfillan,2012-11-08,None,[],1938-06-29 00:00:00
3110,Leaford Bearskin,2012-11-09,None,[],1921-09-11 00:00:00
3111,Harold Gould,2012-11-09,None,[],1924-09-29 00:00:00
3112,Larry Alexander,2012-11-06,None,[],1950-06-10 00:00:00
3113,Hetty Blok,2012-11-06,Female,[],1920-01-06 00:00:00
3114,Jan Louwers,2012-11-01,None,[],1930-07-03 00:00:00
3115,Samuel Guo Chuan-zhen,2012-11-06,None,[],1918-04-14 00:00:00
3116,Bohdan Tsap,2012-11-06,None,[],1941-04-30 00:00:00
3117,Umesh Chandra Banerjee,2012-11-05,None,[],1937-11-18 00:00:00
3120,Charles Delporte,2012-11-06,Male,[],1928-12-04 00:00:00
3121,Patrick Francis Sheehan,2012-11-08,None,[],1932-05-28 00:00:00
3123,Mynavathi,2012-11-10,Female,[],1935-07-26 00:00:00
3124,Beverley Goodway,2012-11-04,Male,[],1943-10-13 00:00:00
3125,Milan Čič,2012-11-09,None,[],1932-01-02 00:00:00
3126,Sikandar Sanam,2012-11-05,None,[],1960-09-21 00:00:00
3152,Silvio Medici de Menezes,1989-06-12,Male,[],1903-10-26 00:00:00
3157,Boris Galitzine,1958,Male,[],1878-01-01 00:00:00
3160,Nina Lazareff,1957,Female,[],1888-01-01 00:00:00
3189,Coralie Neville,2009-10-03,Female,[],1924-08-07 00:00:00
3240,Jean-François Josselin,2003-04-02,Male,[],1939-01-01 00:00:00
3337,Michael Weisbarth,2004-10-11,Male,[],1943-04-23 00:00:00
3533,Harry Gantz,1949-08-11,Male,[],1887-09-04 00:00:00
3544,Lew Schwarz,1999-08-29,Male,[],1926-04-16 00:00:00
3545,Henri Pollès,1994-09-30,Male,[],1909-07-13 00:00:00
3558,Elizabeth Snaman Weber Jay,1966-02-26,Female,[],1877-04-09 00:00:00
3564,George Weber,1910,Male,[],1855-06-01 00:00:00
3573,Mary Matilda Snaman,1935,Female,[],1854-03-01 00:00:00
3574,Jean Rougeul,1978-05-30,Male,[],1905-10-22 00:00:00
3575,François Bernard,2003-01,Male,[],1914-01-01 00:00:00
3783,Betsy Smeets,2008-10-21,Female,[],1929-07-11 00:00:00
3789,Robert Shackleton,1956-06-21,Male,[],1914-01-01 00:00:00
3809,Georgette Hagedoorn,1995-08-23,Female,[],1910-04-04 00:00:00
3858,Albert Witherick,2002-05,Male,[],1919-09-29 00:00:00
3866,Sture Gunnarsson,2005,Male,[],1911-01-01 00:00:00
3867,Catharina Palme Nilzén,2002-01-15,Female,[],1920-01-01 00:00:00
3868,Claës Palme,2006-04-21,Male,[],1917-05-31 00:00:00
3875,Elisabeth von Knieriem,1972,Female,[],1890-01-01 00:00:00
3876,Gunnar Palme,1934-09-15,Male,[],1886-09-06 00:00:00
3905,Dagmar Erlander,1988,Female,[],1904-01-01 00:00:00
3906,Anna Erlander,1972,Female,[],1894-01-01 00:00:00
3907,Janne Erlander,1912,Male,[],1893-01-01 00:00:00
3910,Alma Erlander,1961,Female,[],1869-01-01 00:00:00
3912,Erik Gustaf Erlander,1936,Male,[],1859-01-01 00:00:00
4109,Serafina Di Leo,2007-10-23,Female,[],1912-05-07 00:00:00
4111,Selma Vaz Dias,1977-08-30,Female,[],1911-11-23 00:00:00
4178,Louella MacFarlane,2004-12-09,Female,[],1908-06-07 00:00:00
4218,Jean Curtelin,2000-05-28,Male,[],1932-12-25 00:00:00
4233,Gordon Gordon,2002-03-14,Male,[],1906-03-12 00:00:00
4237,Rosemary Gill,2011-02-22,Female,[],1930-12-17 00:00:00
4250,Will H. Hays Jr.,2000-08-11,Male,[],1915-12-11 00:00:00
4277,Percy Heath,1933-02-09,Male,[],1884-01-30 00:00:00
4310,Karl Malkames,2010-03-08,Male,[],1926-05-06 00:00:00
4375,Wallace McCutcheon Jr.,1928-01-27,Male,[],1880-12-23 00:00:00
4403,Carey Blyton,1976,Male,[],1902-01-01 00:00:00
4407,Hanly Blyton,1983,Male,[],1899-01-01 00:00:00
4435,Michael Gliona,1992-06-02,Male,[],1947-01-01 00:00:00
4473,Maria L. Schwarzburg,1996,Female,[],1918-01-01 00:00:00
4474,Boris M. Smekhov,2010-10-08,Male,[],1912-01-19 00:00:00
4540,Joseph Jefferson Farjeon,1955-06-06,Male,[],1883-06-04 00:00:00
4541,Lucienne Hill,2012,Female,[],1923-01-01 00:00:00
4573,Edna Carey,1933,Female,[],1859-01-01 00:00:00
4576,Charles B. Jefferson,1908-06-23,Male,[],1854-01-01 00:00:00
4578,Margaret Clements Lockyer,1861-02-18,Female,[],1832-01-01 00:00:00
4587,François Berthet,2005-02-08,Male,[],1943-07-17 00:00:00
4622,Eric Alden,1962-02-28,Male,[],1908-10-06 00:00:00
4630,Dan Tobey,1956-03-09,Male,[],1878-07-22 00:00:00
4670,Danuta Zankowska,2000-11-27,Female,[],1972-01-01 00:00:00
4673,Milton Kaye,2006-08-14,Male,[],1909-06-22 00:00:00
4675,Luc Philips,2002-07-26,Male,[],1915-01-02 00:00:00
4724,Carole Beers,1999-03-16,Female,[],1935-12-30 00:00:00
4731,Jef Bruyninckx,1995-01-15,Male,[],1919-01-13 00:00:00
4739,Cedric Thorpe Davie,1983-01-18,Male,[],1913-05-13 00:00:00
4781,Eugène Stuber,1959-12-05,Male,[],1887-07-11 00:00:00
4809,Louise Lorimer,1995-08-11,Female,[],1898-07-14 00:00:00
4840,Markku Lahtela,1980-07-31,Male,[],1936-08-01 00:00:00
4919,Joy Covey,2013-09-18,None,[],1963-04-25 00:00:00
4959,Benedetto Annigoni,2011-12-16,Male,[],1939-01-01 00:00:00
5019,Nan Ye,2003,Male,[],1930-01-01 00:00:00
5043,Nakamura Kanemon II,1919,Male,[],1851-01-01 00:00:00
5128,Harriet Stanley,1972,Female,[],1916-01-01 00:00:00
5129,Anne Stanley,1988,Female,[],1911-01-01 00:00:00
5130,Elizabeth Stanley,1976,Female,[],1908-01-01 00:00:00
5156,Christian Zimmermann,2011-02-16,Male,[],1987-03-01 00:00:00
5294,Enrique Beech,2012-11-14,None,[],1920-08-14 00:00:00
5296,Ignaz Schwinn,1948-08-31,Male,[],1860-04-01 00:00:00
5358,Zinovy Dunayevsky,1981,Male,[],1908-01-01 00:00:00
5360,Semyon Dunayevsky,1986,Male,[],1906-01-01 00:00:00
5368,Sam Popeil,1984-07-17,Male,[],1915-01-22 00:00:00
5369,Warde Q. Butler,2004-04-16,Male,[],1920-09-19 00:00:00
5371,Rene Garriguenc,1998-06-22,Male,[],1908-10-18 00:00:00
5410,Cassandra Balchin,2012,Female,[],1962-01-01 00:00:00
5419,Hubert Loiselle,2004-11-16,Male,[],1932-02-17 00:00:00
5422,John Sheridan,2012-11-13,None,[],1933-11-24 00:00:00
5426,Herbert C. Walton,1955-01-16,Male,[],1879-01-01 00:00:00
5449,Billy Allen,1923,Male,[],1888-01-01 00:00:00
5471,Glen Holse,1983-02-14,Male,[],1930-07-03 00:00:00
5490,Regina Maria Dourado,2012-10-27,Female,[],1953-08-22 00:00:00
5504,Ernest d' Hauterive,1957,Male,[],1864-01-01 00:00:00
5515,Serge Napoléon Lippmann,1975,Male,[],1886-01-01 00:00:00
5569,Mang-Ha Cheng,2000-11-20,Female,[],1920-01-01 00:00:00
5592,Helmo Kindermann,2003-01-22,Male,[],1924-03-30 00:00:00
5610,Barry Lowe,2011-12-12,Male,[],1925-01-01 00:00:00
5623,Eliseo Diego,1994-03-01,Male,[],1920-07-02 00:00:00
5625,Lawrence King,2009-07-03,Male,[],1944-01-01 00:00:00
5626,Bob Fleming,1933-10-04,Male,[],1878-02-19 00:00:00
5661,Sasa Dabetic,2003-08-25,Female,[],1938-08-21 00:00:00
5679,Mladen Vranesevic,2006-07-15,Male,[],1947-10-21 00:00:00
5692,Cornelia Vermeer,1660-12-27,Female,[],
5694,Hedvig Ibsen,1920-06-15,Female,[],1831-11-15 00:00:00
5699,Catharina Bolnes,1687-12-30,Female,[],
5713,Geertruy Vermeer,1670-05-02,Female,[],
5716,Reynier Janszoon Vermeer,1652-10-12,Male,[],
5722,Digna Baltens,1670-02-13,Female,[],
5732,Nicolai Alexander Ibsen,1888,Male,[],1834-01-01 00:00:00
5733,Johan Altenburg Ibsen,1828,Male,[],1826-01-01 00:00:00
5735,Ole Paus Ibsen,1917,Male,[],1835-01-01 00:00:00
5739,Marichen Altenburg,1869-06-03,Female,[],1799-11-24 00:00:00
5743,Janet Bridge,1927,Female,[],1877-01-01 00:00:00
5746,Johanne Plesner,1847,Female,[],1770-01-01 00:00:00
5748,Hubert Rawsthorne,1943,Male,[],1868-01-01 00:00:00
5752,Henrich Ibsen,1797,Male,[],1765-01-01 00:00:00
5836,Shin Watanabe,1987-01-31,Male,[],1927-03-02 00:00:00
5844,Valerie Kafka,1942,Female,[],1890-01-01 00:00:00
5845,Gabriele Kafka,1944,Female,[],1889-01-01 00:00:00
5854,Joshua,2008-05-20,Male,[],1982-12-31 00:00:00
5855,Julie Kafka,1934,Female,[],1856-01-01 00:00:00
5933,Omar Volmer,2002-12-25,Male,[],1934-04-16 00:00:00
5955,Yefim Uchitel,1988-08-18,Male,[],1913-10-28 00:00:00
6048,Eugene Price,2001-03-28,Male,[],1932-09-26 00:00:00
6057,René Ferracci,1982-02-25,Male,[],1927-11-27 00:00:00
6058,Phyllis White,2002-07-07,Female,[],1923-06-05 00:00:00
6063,Norman Borisoff,2013-04-21,Male,[],1918-01-01 00:00:00
6069,Jeannie Glynn,2007-06-08,Female,[],1932-04-13 00:00:00
6295,Alicja Bienicewicz,2012-08-13,Female,[],1954-01-05 00:00:00
6464,Greg York,1995-07-26,Male,[],1961-01-01 00:00:00
6478,Manuela Brandenstein,2004-12-26,Female,[],1957-01-01 00:00:00
6524,Emmanuel Clot,1983-11-25,Male,[],1951-12-19 00:00:00
6539,Michael Travis,2014-05-01,Male,[],1928-04-13 00:00:00
6559,Bill Goodwin,1995-03-16,Male,[],1946-11-15 00:00:00
6688,Paul Lammers,1996-07-16,Male,[],1922-01-01 00:00:00
6778,Eriko Iwamoto,2008-10-19,Female,[],1952-08-18 00:00:00
6852,John Hawkins,1978-10,Male,[],1910-04-02 00:00:00
6870,Jack Reilly,2009-05-27,Male,[],1925-02-27 00:00:00
6878,Helen Strickland,1938-01-11,Female,[],1863-09-12 00:00:00
6881,Brad Sutton,1932-08-19,Male,[],1863-01-01 00:00:00
6894,George W. Lane,1935-06-15,Male,[],1877-01-01 00:00:00
6914,Selçuk Uluergüven,2014-01-08,Male,[],1941-01-01 00:00:00
7017,Gertrude Rudge,1951,Female,[],1873-01-01 00:00:00
7025,Eleanor Farrell,2003-11-22,Female,[],1905-04-21 00:00:00
7033,Charlie Forsythe,1968-01,Male,[],1892-10-23 00:00:00
7044,Jang Seok-Jun,1980-08-15,Male,[],1935-06-12 00:00:00
7466,Werner Boehm,1971-04-21,Male,[],1897-04-18 00:00:00
